GUID,First Name,Middle,Last Name,Suffix,Professional Title,School,Affiliation
1,Samuel,Z.,Goldhaber,MD,Professor of Medicine,,Harvard Medical School
2,Paul,M.,Ridker,"MD, MPH",Eugene Braunwald Professor of Medicine,,Harvard Medical School
3,Arthur,,Sasahara,MD,Professor of Medicine Emeritus,,Harvard Medical School
4,Peter,,Libby,MD,Mallinckrodt Professor of Medicine,,Harvard Medical School
5,Richard,N.,Mitchell,"MD, PhD",Professor of Pathology and Health Sciences and Technology,,Harvard Medical School
6,Jean,,Connors,MD,Assistant Professor of Medicine,,Harvard Medical School
7,Gregory,,Piazza,"MD, MS",Assistant Professor of Medicine,,Harvard Medical School
8,Michael,,Jaff,DO,Professor of Medicine,,Harvard Medical School
9,Eugene,,Braunwald,MD,Hersey Professor of Medicine,,Harvard Medical School
10,Sekar,,Kathiresan,MD,Associate Professor of Medicine,,Harvard Medical School
11,Calum,A.,MacRae,"MD, PhD",Associate Professor,,Harvard Medical School
12,Donna,M.,Polk,"MD, MPH",Lecturer on Medicine,,Harvard Medical School
13,Jessica,L.,Mega,MD,Associate Professor of Medicine,,Harvard Medical School
14,Laura,, Mauri,MD,Associate Professor of Medicine,,Harvard Medical School
15,Christian,T.,Ruff,"MD, MPH",Assistant Professor of Medicine,,Harvard Medical School
16,Deepak,,Bhatt,MD,Professor of Medicine,,Harvard Medical School
17,Christine,M.,Alpert,"MD, MPH",Associate Professor,,Harvard Medical School
18,Aaron,,Waxman,MD,Associate Professor of Medicine,,Harvard Medical School 
19,Henri,,Bounameaux,MD,Dean of the Faculty of Medicine,University of Geneva,Guest Faculty
20,Jeff,,Weitz,MD,Professor of Medicine,McMaster University,Guest Faculty
21,Suresh,,Vedantham,MD,Professor of Radiology,Washington University,Guest Faculty
22,C.,Gregory,Elliott,MD,Professor of Medicine,University of Utah School of Medicine,Guest Faculty
23,Craig,,Kessler,MD,Professor of Medicine and Pathology,Georgetown University,Guest Faculty
24,Shannon,,Bates,MD,Associate Professor of Medicine,McMaster University,Guest Faculty